Timestamp,Attended,status,city,province_state,country,gender,pronouns,join_sprint,role,os_system,student_school,student_field,company,are_you_urp,learn_of_sprint,contributor_status,prior_sprints,os_experience,prior_os,prior_pr,git,prog_langs,python_experience,used_sklearn,scikit_repo_familiar,why_in_sprint,can_do_postwork,can_do_prepwork,internet_data,primary_spoken_language,count_rows,status_c
9/21/2021 5:07:38,1,1,Berlin,Berlin,Germany,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Engineer,Linux,,,Free Now,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in June 2020 (Online)  (Global), Yes, in February 2021 (Online)  (Africa Middle East), Yes, in June 2021 (Online) (Latin America)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation, Yes, writing blogs, Yes, answering user questions on StackOverflow or Quora (or other platform)",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, MATLAB, Java",Advanced,I am highly experienced with scikit-learn.,"I am familiar, I have submitted a PR in the past","Because 1) it's fun, 2) I am happy to help people, 3) I can advance my own skills, 4) it's for a good cause.",Yes,Yes,No,"German, English",1,Attended
9/21/2021 5:23:18,1,1,Berlin,D,Germany,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Mac,,,,"Yes, I identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",returning,"Yes, in January 2020 (Berlin)",Beginner,"Yes, submitted a PR to a code repository, Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable cloning a repository","Python, R, Javascript",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I'd love to contribute again and I don't do it without peer pressure ;),Yes,Yes,No,"German, English",1,Attended
9/21/2021 14:55:47,1,1,Mumbai,Maharashtra,India,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Analyst, Engineer, Student","Linux, Windows",,"Finance, CS",,I identify as an Ally in data science.,Twitter,new,"No, never.",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",I want to get more involved in OS and contribute to amazing projects like Scikit-Learn,Yes,Yes,No,English,1,Attended
9/21/2021 18:09:56,1,1,San Luis,San Luis,Argentina,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Student, Researcher",Linux,Universidad Nacional de San Luis,PhD in Computer Science,,"Yes, I identify as an under-represented person., I identify as an Ally in data science.",by invitation,returning,"Yes, in June 2021 (Online) (Latin America)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository, used Git, but am not comfortable","Python, Java",Advanced,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past","I would love to participate again in another sprint to tackle more challenging issues. Since some of the developers probably will be around, we will be able to ask questions if we get stuck.",Yes,Yes,No,"Spanish, English",1,Attended
9/24/2021 16:06:27,1,1,Lusaka,Lusaka,Zambia,Woman,she/her,Maybe,Product Support,Windows,Not a Student,Not a Student,Africa's Talking,I prefer not to answer this question.,Twitter,new,"No, never.",Beginner,"Yes, writing blogs",No,comfortable cloning a repository,Python,Beginner,I am not at all familiar with scikit-learn.,I am not at all familiar with scikit-learn.,I have always wanted to contribute to OS and this will be a good way to learn.,Yes,Yes,No,English,1,Attended
9/25/2021 17:16:30,did not RSVP,0,Chlef,Chlef Algeria,Algeria,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,"Mac, Windows",PhD student from University ,"PhD, microbial Genomics ",University but unfortunately I am currently unemployed ,I prefer not to answer this question.,LinkedIn,new,"No, never.",Intermediate,No,No,"used Git, but am not comfortable",R,Beginner,I am not at all familiar with scikit-learn.,I am not at all familiar with scikit-learn.,"I am microbiologist first but when I did Phd I get to know bioinformatics and I had to start learn more about it. So, I took all what I know and I am still learning ",Yes,Yes,Yes,"Arabic, French, English",1,Did Not Attend
9/26/2021 15:34:55,1,1,Nairobi,Lang'ata,Kenya,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Statistician, Student",Windows,Multimedia University of Kenya,Bachelor of Science in Mathematics and Computer Science(Statistics Major),,"Yes, I identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing blogs",No,"comfortable submitting a PR, comfortable cloning a repository","Python, R, MATLAB",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",Tolearn from other attendants and to also share my expertise and contribute as much as i can.,Yes,Yes,No,English,1,Attended
9/27/2021 18:56:32,1,1,Kintampo,Bono East Region,Ghana,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Analyst, Student, Researcher, Software developer",Linux,KNUST - Ghana,M.Phil,Government of Ghana,"No, I do not identify as an under-represented person., I identify as an Ally in data science.",LinkedIn,new,"No, never.",Advanced,"Yes, writing technical documentation",No,comfortable submitting a PR,"Python, R, MATLAB, C+ / C++, Java",Advanced,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",I'd like expand my network and more importantly learn something new from sessions.,Yes,Yes,Yes,English,1,Attended
9/28/2021 0:37:11,1,1,Los Angeles,CA,USA,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Analyst,Mac,Santa Monica College,"Computer Science, Associate's Degree",UCLA,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in June 2021 (Online) (Latin America)",Beginner,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I would like to contribute to scikit learn and also learn how to work on open issues. ,Yes,Yes,No,English,1,Attended
9/28/2021 2:24:50,no show,0,Benin city,Edo State,Nigeria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Analyst","Linux, Windows",,,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Beginner,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",Learning is a non-stop thing as it helps one to improve and be better. I want to learn and build something,Yes,Yes,No,English,1,Did Not Attend
9/28/2021 13:24:11,1,1,Vasco da gama,Goa,India,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student",Windows,Georgia Tech,MS CS,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in June 2020 (Online)  (Global), Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",Give back,Not sure I cannot commit to it.,Not sure,No,English,1,Attended
9/28/2021 14:57:13,1,1,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Engineer, Student",Linux,JKUAT,Mechatronics Engineering,Qualislabs,I prefer not to answer this question.,by invitation,returning,"Yes, June 2019 (Nairobi)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation, Yes, writing blogs",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",It would be a great avenue for me to grow my open source skills and polish my portfolio,Yes,Yes,No,English,1,Attended
9/28/2021 17:25:42,did not RSVP,0,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,"Linux, Windows",,,Cropnuts,"Yes, I identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",Beginner,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,I use scikit-learn and contributing to OS sounds exciting to me,Yes,Yes,No,English,1,Did Not Attend
9/28/2021 23:14:27,did not RSVP,0,Ruaka,Kiambu County,Kenya,Woman,they/them,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Software developer,Windows,,,Self Employeed,"Yes, I identify as an under-represented person.",Meetup,new,"No, never.",Beginner,"Yes, submitted a PR to a code repository, Yes, answering user questions on StackOverflow or Quora (or other platform)",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, MATLAB, C+ / C++, Java",Advanced,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,My husband also applied and I thought it'd be fun to do together. I'm working on getting better at Data Science (I mostly do apps/website) but want to learn more and grow.,Yes,Yes,No,English,1,Did Not Attend
9/29/2021 5:18:39,1,1,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Software developer,Windows,,,Private Developer,I identify as an Ally in data science.,LinkedIn,new,"No, never.",Advanced,"Yes, submitted a PR to a code repository, Yes, answering user questions on StackOverflow or Quora (or other platform)",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Advanced,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",I believe in the power of Open Source knowleg,Yes,Yes,No,English,1,Attended
9/29/2021 10:55:23,1,1,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Student, Researcher, Software developer","Linux, Windows",African Leadership University,BA(HONS) in Global Challenges majoring onTech Policy and Research,,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Advanced,"Yes, submitted a PR to a code repository, Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Advanced,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,To supplement my begginer level knowlesge of the scikit-learn framework for my ML research work on improving the accessibility of data literacy for people living with various forms of impairments such as visual and cognitive.,Yes,Yes,No,English,1,Attended
9/29/2021 11:50:46,did not RSVP,0,NAIROBI,Nairobi,Kenya,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,Windows,Jomo Kenyatta University of Agriculture & Technology,B. Sc. Mechatronic Engineering,,"Yes, I identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",No experience,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, MATLAB, C+ / C++",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,"It is an opportunity to upskill in python, machine learning and data science in general.",Yes,Yes,Yes,English,1,Did Not Attend
10/3/2021 3:14:45,did not RSVP,0,Karachi,Sindh,Pakistan,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Researcher,"Linux, Windows",,,Iqra University,"No, I do not identify as an under-represented person.",by invitation,new,"No, never.",Beginner,No,No,comfortable cloning a repository,"Python, R, MATLAB, C+ / C++, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,Learning,Yes,Yes,No,"Urdu, English",1,Did Not Attend
10/3/2021 4:56:59,no show,0,Kigali,Kigali,Rwanda,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student",Windows,African Leadership University,Computer Science,,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",No experience,No,No,"comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,"I would like to put my skills into good use, to have a positive impact whilst improving my skillset.",Yes,Yes,No,English,1,Did Not Attend
10/3/2021 13:08:00,1,1,New York,New York,USA,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Statistician","Linux, Mac",,,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in June 2021 (Online) (Latin America)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation, Yes, writing blogs, Yes, answering user questions on StackOverflow or Quora (or other platform), Yes, translated technical documentation from English to another language",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, MATLAB, Java",Advanced,I am highly experienced with scikit-learn.,"I am familiar, I have submitted a PR in the past",I’d like to expand my network of people working on OSS projects ,Yes,Yes,No,English,1,Attended
10/4/2021 12:54:32,did not RSVP,0,Arbaa,arbaa blida,Algeria,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,Windows,high schoolof computer science ESI EX INI,comuter science data science,student,"Yes, I identify as an under-represented person., I identify as an Ally in data science.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",No experience,No,No,"used Git, but am not comfortable","Python, Java",Intermediate,I am highly experienced with scikit-learn.,I have never looked at the source code for scikit-learn.,in order to impove my skills in ML and being more confortable using sikit learn  ,Yes,Yes,Yes,"French, English",1,Did Not Attend
10/4/2021 14:30:34,1,1,New Delhi,Delhi,India,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,Mac,MIPT,Applied Mathematics,,"Yes, I identify as an under-represented person.",Twitter,new,"No, never.",Beginner,"Yes, answering user questions on StackOverflow or Quora (or other platform), Yes, translated technical documentation from English to another language",No,"comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",To take the first step toward OS contribution.,Yes,Yes,No,"English, Urdu, Hindi",1,Attended
10/4/2021 20:20:23,1,1,Boston,MA,USA,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,"Linux, Windows",Northeastern University,PhD in Computer Science,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in June 2021 (Online) (Latin America)",Intermediate,"Yes, submitted a PR to a code repository, Yes, translated technical documentation from English to another language",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++",Advanced,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.",Continuing to contribute to scikit-learn!,Yes,Yes,No,"Spanish, English, French",1,Attended
10/5/2021 4:16:02,1,1,Sofia,Sofia - City,Bulgaria,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Mac,,,Financial Times,"No, I do not identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",No experience,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, SAS, SQL",Beginner,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,I would like to contribute to OS as well as upgrade my python skills,Not sure I cannot commit to it.,Yes,No,"English, Bulgarian",1,Attended
10/6/2021 10:46:42,no show,0,La marsa,Tunis,Tunisia,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Windows,,,,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Intermediate,No,No,"used Git, but am not comfortable","Python, R, C+ / C++, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",to learn something new,Yes,Yes,No,English,1,Did Not Attend
10/14/2021 5:39:26,did not RSVP,0,Accra,Greater Accra,Ghana,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Engineer, Software developer",Mac,,,mPharma,"No, I do not identify as an under-represented person.",Whatsapp,new,"No, never.",No experience,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, Java",Intermediate,I am not at all familiar with scikit-learn.,I am not at all familiar with scikit-learn.,To gain experience working with an open source project,Yes,Yes,No,English,1,Did Not Attend
10/16/2021 1:25:15,1,1,Vancouver,British Columbia,Canada,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Windows,,,Semios,I identify as an Ally in data science.,"a friend, colleague, etc.  (word of mouth)",new,"No, never.",No experience,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,I would like to learn how to contribute to open source,Yes,Yes,No,English,1,Attended
10/16/2021 21:44:18,1,1,Ottawa,Ontario,Canada,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Mac,,,,"No, I do not identify as an under-represented person.",YouTube,new,"No, never.",Beginner,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository, used Git, but am not comfortable","Python, R",Advanced,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past","Finally contribute to scikit-learn, giving back :)",Yes,Yes,No,"English, German",1,Attended
10/17/2021 11:45:11,did not RSVP,0,Diani,Mombasa,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Analyst, Researcher",Windows,,,Arctic Data ,"Yes, I identify as an under-represented person.",Meetup,new,"No, never.",Beginner,"Yes, writing blogs, Yes, answering user questions on StackOverflow or Quora (or other platform)",No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,"As a person building a career in data science, I have used scikit-learn on may occassions, and given how useful and essential it has been, I would like an opportunity to contribute to the library and make it even better. This will help other data scientists even further. In addition, I look forward to contributing to an open source project by actually working in collaboration with other like-minded professionals. ",Yes,Yes,Yes,"Swahili, English",1,Did Not Attend
10/18/2021 16:19:36,1,1,Stockholm,Stockholm,Sweden,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Engineer",Linux,,,,"Yes, I identify as an under-represented person.",Twitter,returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository",Yes,comfortable submitting a PR,"Python, Java",Advanced,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",Make use of a structured/time-boxed activity to contribute to sklearn while getting support from core sklearn developers.,Yes,Yes,No,"Arabic, English",1,Attended
,1,1,Bogota,,Colombia,Woman,she/her,,,,,,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, LATAM",,,,,,,,,,,Yes,No,"Spanish, English",1,Attended
,1,1,Córdoba,Córdoba,Argentina,Man,he/him,,,,,,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, LATAM",,,,,,,,,,,Yes,No,"Spanish, English",1,Attended
